ENTRADAS:
Dado:FxAJK, Chave :0, OP: 1
Dado:MpnqY, Chave :639, OP: 2
Dado:UHaoA, Chave :639, OP: 3
Dado:iLDBl, Chave :639, OP: 4
Dado:ySlDy, Chave :643, OP: 1
Dado:EqxPS, Chave :639, OP: 6
Dado:TWPCY, Chave :639, OP: 7
Dado:WmmDN, Chave :646, OP: 1
Dado:HTLRk, Chave :647, OP: 1
Dado:vHZUv, Chave :639, OP: 10
Dado:esnUu, Chave :649, OP: 1
Dado:mgqgI, Chave :650, OP: 1
Dado:TwWiq, Chave :651, OP: 1
Dado:wTWrN, Chave :651, OP: 2
Dado:cVvkI, Chave :651, OP: 3
Dado:PbGYI, Chave :639, OP: 16
Dado:rXSZA, Chave :655, OP: 1
Dado:hHpBV, Chave :655, OP: 2
Dado:qfSbQ, Chave :657, OP: 1
Dado:qfSNH, Chave :657, OP: 2
Dado:tAOrq, Chave :659, OP: 1
Dado:UWlTp, Chave :659, OP: 2
Dado:vAbjx, Chave :659, OP: 3
Dado:ZNSNB, Chave :659, OP: 4
Dado:CymGk, Chave :662, OP: 2
Dado:fbUht, Chave :659, OP: 6
Dado:kErYN, Chave :661, OP: 5
Dado:xZkNp, Chave :599, OP: 68
Dado:BRYad, Chave :667, OP: 1
Dado:WSYOJ, Chave :668, OP: 1
Dado:gcnGZ, Chave :669, OP: 1
Dado:AhUSB, Chave :599, OP: 72
Dado:lNgEc, Chave :671, OP: 1
Dado:mpmoy, Chave :671, OP: 2
Dado:oVEcT, Chave :673, OP: 1
Dado:yYKYT, Chave :674, OP: 1
Dado:JgCgT, Chave :673, OP: 3
Dado:IYlUE, Chave :675, OP: 2
Dado:NjkNO, Chave :675, OP: 3
Dado:TbLjy, Chave :631, OP: 48
Dado:TknCj, Chave :679, OP: 1
Dado:xDIQl, Chave :679, OP: 2
Dado:neXot, Chave :679, OP: 3
Dado:eeSXx, Chave :682, OP: 1
Dado:rYPvc, Chave :679, OP: 5
Dado:hQFlT, Chave :679, OP: 6
Dado:yjoxr, Chave :685, OP: 1
Dado:jgMtU, Chave :685, OP: 2
Dado:DfSqQ, Chave :687, OP: 1
Dado:SDfkr, Chave :687, OP: 2
Dado:LitJM, Chave :679, OP: 11
Dado:fDSjn, Chave :687, OP: 4
Dado:aulvZ, Chave :691, OP: 1
Dado:OkQFn, Chave :692, OP: 1
Dado:uywSc, Chave :682, OP: 12
Dado:RQkpa, Chave :693, OP: 2
Dado:yTrxL, Chave :695, OP: 1
Dado:BjPEg, Chave :679, OP: 18
Dado:ywfMT, Chave :697, OP: 1
Dado:JFLLd, Chave :679, OP: 20
Dado:mdSyn, Chave :699, OP: 1
Dado:dMyfw, Chave :699, OP: 2
Dado:rYWld, Chave :701, OP: 1
Dado:klKyT, Chave :699, OP: 4
Dado:khDSW, Chave :703, OP: 1
Dado:hHlOk, Chave :703, OP: 2
Dado:JBjZk, Chave :703, OP: 3
Dado:KQLLg, Chave :699, OP: 8
Dado:pvwEr, Chave :703, OP: 5
Dado:NnAom, Chave :699, OP: 10
Dado:Nmiyc, Chave :709, OP: 1
Dado:rJKqS, Chave :699, OP: 12
Dado:ROhHl, Chave :711, OP: 1
Dado:sqLcN, Chave :619, OP: 94
Dado:vFvSI, Chave :679, OP: 35
Dado:ZCxwp, Chave :599, OP: 116
Dado:CdvGf, Chave :599, OP: 117
Dado:NuUJa, Chave :709, OP: 8
Dado:GuJSY, Chave :717, OP: 1
Dado:wOwGC, Chave :718, OP: 1
Dado:FtQPd, Chave :719, OP: 1
Dado:qxpnK, Chave :719, OP: 2
Dado:tPcll, Chave :719, OP: 3
Dado:FXCIu, Chave :719, OP: 4
Dado:IHxUA, Chave :719, OP: 5
Dado:TgWwy, Chave :723, OP: 2
Dado:eAXmu, Chave :719, OP: 7
Dado:fnLjY, Chave :719, OP: 8
Dado:MwyOA, Chave :722, OP: 6
Dado:fhZym, Chave :719, OP: 10
Dado:ZeapF, Chave :729, OP: 1
Dado:YSqcm, Chave :730, OP: 1
Dado:UQbUZ, Chave :729, OP: 3
Dado:wCyEn, Chave :732, OP: 1
Dado:qgjHj, Chave :733, OP: 1
Dado:gAIOe, Chave :734, OP: 1
Dado:urUuI, Chave :729, OP: 7
Dado:IeEWu, Chave :736, OP: 1
Dado:gEwBL, Chave :732, OP: 6
Dado:OgGhQ, Chave :726, OP: 13
Dado:DibCH, Chave :719, OP: 21
Dado:skhTE, Chave :719, OP: 22
Dado:oUpZF, Chave :719, OP: 23
Dado:gSkTB, Chave :742, OP: 1
Dado:jVTvc, Chave :743, OP: 1
Dado:AWOHP, Chave :744, OP: 1
Dado:WNhUD, Chave :743, OP: 3
Dado:emSmL, Chave :746, OP: 1
Dado:RumNl, Chave :745, OP: 3
Dado:SofWP, Chave :725, OP: 24
Dado:AUFom, Chave :749, OP: 1
Dado:URKvk, Chave :749, OP: 2
Dado:pwmRj, Chave :751, OP: 1
Dado:RAKPN, Chave :749, OP: 4
Dado:FOKeo, Chave :749, OP: 5
Dado:UIoxp, Chave :754, OP: 1
Dado:OJVwP, Chave :755, OP: 1
Dado:jfqRf, Chave :755, OP: 2
Dado:jCLya, Chave :751, OP: 7
Dado:PEkMJ, Chave :639, OP: 120
Dado:LZYmD, Chave :759, OP: 1
Dado:FHERZ, Chave :759, OP: 2
Dado:SJoRV, Chave :761, OP: 1
Dado:ZbDOY, Chave :759, OP: 4
Dado:axTIh, Chave :759, OP: 5
Dado:xoDWY, Chave :759, OP: 6
Dado:oGVrF, Chave :765, OP: 1
Dado:VFXDA, Chave :759, OP: 8
Dado:LJkDx, Chave :767, OP: 1
Dado:HDlas, Chave :767, OP: 2
Dado:YZMBv, Chave :769, OP: 1
Dado:WRuFI, Chave :677, OP: 94
Dado:cHsQN, Chave :719, OP: 53
Dado:ukCIQ, Chave :772, OP: 1
Dado:OejGN, Chave :773, OP: 1
Dado:jKiVV, Chave :749, OP: 26
Dado:HgVww, Chave :775, OP: 1
Dado:vlOsI, Chave :775, OP: 2
Dado:TrJgy, Chave :623, OP: 155
Dado:nYaXG, Chave :629, OP: 150
Dado:rZgqM, Chave :779, OP: 1
Dado:vCnjT, Chave :659, OP: 122
Dado:vsnTn, Chave :699, OP: 83
Dado:xBOmQ, Chave :679, OP: 104
Dado:ctLFQ, Chave :783, OP: 1
Dado:htjhW, Chave :783, OP: 2
Dado:wcjCM, Chave :785, OP: 1
Dado:pgwEg, Chave :783, OP: 4
Dado:JqJKj, Chave :787, OP: 1
Dado:SyXwx, Chave :783, OP: 6
Dado:SijqR, Chave :789, OP: 1
Dado:GDGOV, Chave :787, OP: 4
Dado:ONtwm, Chave :791, OP: 1
Dado:faDEa, Chave :791, OP: 2
Dado:LvEFt, Chave :791, OP: 3
Dado:UWyjm, Chave :794, OP: 1
Dado:vRyDr, Chave :795, OP: 1
Dado:DuwpN, Chave :763, OP: 34
Dado:OjMmN, Chave :797, OP: 1
Dado:xSmIC, Chave :639, OP: 160
Dado:pUAIu, Chave :799, OP: 1
Dado:PFSts, Chave :799, OP: 2
Dado:HFxmQ, Chave :799, OP: 3
Dado:tKrfj, Chave :799, OP: 4
Dado:FUhVj, Chave :799, OP: 5
Dado:OAPFt, Chave :799, OP: 6
Dado:IxPkT, Chave :799, OP: 7
Dado:bKXwe, Chave :799, OP: 8
Dado:XrwZM, Chave :807, OP: 1
Dado:nNnxV, Chave :799, OP: 10
Dado:LdNuq, Chave :799, OP: 11
Dado:oMqEj, Chave :810, OP: 1
Dado:fJEku, Chave :811, OP: 1
Dado:aAetv, Chave :804, OP: 9
Dado:yxsRW, Chave :799, OP: 15
Dado:Eegca, Chave :806, OP: 9
Dado:WvRxF, Chave :811, OP: 5
Dado:rTtQe, Chave :815, OP: 2
Dado:EbDDV, Chave :815, OP: 3
Dado:dHwYQ, Chave :799, OP: 20
Dado:tSAgX, Chave :819, OP: 1
Dado:ZXZVt, Chave :799, OP: 22
Dado:wIjcX, Chave :821, OP: 1
Dado:njMpc, Chave :819, OP: 4
Dado:SltTP, Chave :823, OP: 1
Dado:bolOB, Chave :823, OP: 2
Dado:XjarW, Chave :815, OP: 11
Dado:nxTba, Chave :799, OP: 28
Dado:mXJYG, Chave :807, OP: 21
Dado:UNrWN, Chave :819, OP: 10
Dado:eZWnI, Chave :829, OP: 1
Dado:RJsjV, Chave :819, OP: 12
Dado:HfNRq, Chave :831, OP: 1
Dado:lmjfn, Chave :831, OP: 2
Dado:Hjedg, Chave :831, OP: 3
Dado:igmSb, Chave :834, OP: 1
Dado:BJOfe, Chave :835, OP: 1
Dado:DMeKj, Chave :835, OP: 2
Dado:SRIWW, Chave :837, OP: 1
Dado:SIADO, Chave :834, OP: 5
Dado:xNEAn, Chave :839, OP: 1
Dado:HYirp, Chave :839, OP: 2
Dado:xfBKP, Chave :839, OP: 3
Dado:lOxxh, Chave :839, OP: 4
Dado:bBSWD, Chave :843, OP: 1
Dado:Rrgvn, Chave :843, OP: 2
Dado:XZMvG, Chave :839, OP: 7
Dado:WoUtq, Chave :844, OP: 3
Dado:HDXHM, Chave :847, OP: 1
Dado:HFGib, Chave :839, OP: 10
Dado:mZUNV, Chave :849, OP: 1
Dado:QKNbi, Chave :849, OP: 2
Dado:JpyYo, Chave :847, OP: 5
Dado:ssjKL, Chave :849, OP: 4
Dado:gsHeq, Chave :839, OP: 15
Dado:aEynt, Chave :852, OP: 3
Dado:hpaJS, Chave :855, OP: 1
Dado:GgYoN, Chave :856, OP: 1
Dado:fcyvV, Chave :857, OP: 1
Dado:tRqSv, Chave :855, OP: 4
Dado:wZBTr, Chave :859, OP: 1
Dado:IZbZw, Chave :859, OP: 2
Dado:vggbg, Chave :861, OP: 1
Dado:YxeDE, Chave :679, OP: 184
Dado:DGXQn, Chave :863, OP: 1
Dado:bYpZL, Chave :863, OP: 2
Dado:OgHoT, Chave :863, OP: 3
Dado:AmEcI, Chave :864, OP: 3
Dado:Vfwdd, Chave :867, OP: 1
Dado:wNJwS, Chave :867, OP: 2
Dado:jASih, Chave :869, OP: 1
Dado:mGUrx, Chave :814, OP: 57
Dado:Njhta, Chave :871, OP: 1
Dado:BpBXy, Chave :871, OP: 2
Dado:XCkMJ, Chave :871, OP: 3
Dado:iiKvm, Chave :874, OP: 1
Dado:fEfEW, Chave :875, OP: 1
Dado:kDHGq, Chave :871, OP: 6
Dado:ljYxu, Chave :871, OP: 7
Dado:oWRGW, Chave :873, OP: 6
Dado:FHHEW, Chave :879, OP: 1
Dado:moxEX, Chave :879, OP: 2
Dado:KAIIP, Chave :874, OP: 8
Dado:SCPJY, Chave :879, OP: 4
Dado:YTmCY, Chave :883, OP: 1
Dado:KiivO, Chave :874, OP: 11
Dado:ikKME, Chave :624, OP: 262
Dado:bQUIN, Chave :729, OP: 158
Dado:qsMyh, Chave :614, OP: 274
Dado:MOSvj, Chave :888, OP: 1
Dado:FESuK, Chave :889, OP: 1
Dado:cmeqn, Chave :890, OP: 1
Dado:TYCKV, Chave :891, OP: 1
Dado:OGMfF, Chave :892, OP: 1
Dado:NwCYS, Chave :893, OP: 1
Dado:sCwfH, Chave :894, OP: 1
Dado:hWfPh, Chave :895, OP: 1
Dado:glhcW, Chave :895, OP: 2
Dado:oOqah, Chave :896, OP: 2
Dado:YCTEe, Chave :891, OP: 8
Dado:QwdaK, Chave :899, OP: 1
Dado:oYdYa, Chave :899, OP: 2
Dado:KlwOH, Chave :899, OP: 3
Dado:DiUsW, Chave :899, OP: 4
Dado:KEluO, Chave :899, OP: 5
Dado:RXEFd, Chave :903, OP: 2
Dado:TqKYA, Chave :899, OP: 7
Dado:igWFZ, Chave :904, OP: 3
Dado:BWJvp, Chave :907, OP: 1
Dado:WBJYl, Chave :907, OP: 2
Dado:fyiGh, Chave :909, OP: 1
Dado:odOGr, Chave :899, OP: 12
Dado:mfTui, Chave :911, OP: 1
Dado:lgXrs, Chave :911, OP: 2
Dado:AIvqZ, Chave :909, OP: 5
Dado:MueRR, Chave :908, OP: 7
Dado:vEbKU, Chave :915, OP: 1
Dado:kEcTG, Chave :916, OP: 1
Dado:TKIAC, Chave :899, OP: 19
Dado:FrxHa, Chave :599, OP: 320
Dado:xtLth, Chave :919, OP: 1
Dado:CwMZk, Chave :920, OP: 1
Dado:OxOcu, Chave :919, OP: 3
Dado:kZTWu, Chave :919, OP: 4
Dado:NFfNo, Chave :919, OP: 5
Dado:nbrZQ, Chave :919, OP: 6
Dado:CHPMX, Chave :919, OP: 7
Dado:aCJTn, Chave :925, OP: 2
Dado:HJLaL, Chave :927, OP: 1
Dado:WDlEm, Chave :927, OP: 2
Dado:WtapQ, Chave :923, OP: 7
Dado:EGobH, Chave :788, OP: 143
Dado:GXtmt, Chave :767, OP: 165
Dado:ihtmm, Chave :719, OP: 214
Dado:JICGW, Chave :933, OP: 1
Dado:nZqck, Chave :699, OP: 236
Dado:HeXdO, Chave :935, OP: 1
Dado:LIReA, Chave :935, OP: 2
Dado:vgaTA, Chave :937, OP: 1
Dado:fVXCn, Chave :935, OP: 4
Dado:ZmJTT, Chave :939, OP: 1
Dado:FwvXU, Chave :939, OP: 2
Dado:VfXcj, Chave :935, OP: 7
Dado:BmMlq, Chave :937, OP: 6
Dado:MhvxR, Chave :943, OP: 1
Dado:BrxLO, Chave :879, OP: 66
Dado:NGuHL, Chave :945, OP: 1
Dado:GmIuG, Chave :946, OP: 1
Dado:eKmcN, Chave :674, OP: 274
Dado:vTggf, Chave :935, OP: 14
Dado:KoVSn, Chave :949, OP: 1
Dado:ltdgf, Chave :799, OP: 152
Dado:IIXRd, Chave :951, OPENTRADAS:








































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































ENTRADAS:








































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































ENTRADAS:








































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































ENTRADAS:








































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































ENTRADAS:








































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































ENTRADAS:








































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































